"","stockkey","stockkeylabel","stockkeydescription","speciesfaocode"
"1",169047,"agn-nea","Angel shark (Squatina squatina) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","agn"
"2",169047,"agn.27.nea","Angel shark (Squatina squatina) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","agn"
"3",169048,"alf-comb","Alfonsinos (Beryx spp.) in the Northeast Atlantic","alf"
"4",169048,"alf.27.nea","Alfonsinos (Beryx spp.) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)","alf"
"5",169049,"anb-78ab","Anglerfish (Budegassa) in Divisions VIIb-k and VIIIa,b","anb"
"6",169050,"anb-8c9a","Anglerfish (Budegassa) in Divisions VIIIc and IXa","anb"
"7",169051,"ane-bisc","Anchovy in Subarea VIII (Bay of Biscay)","ane"
"8",169052,"ane-pore","Anchovy in Division IXa","ane"
"9",169051,"ane.27.8","Anchovy (Engraulis encrasicolus) in Subarea 8 (Bay of Biscay)","ane"
"10",169052,"ane.27.9a","Anchovy (Engraulis encrasicolus) in Division 9.a (Atlantic Iberian waters)","ane"
"11",169053,"anf.27.1-2","Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 1 and 2 (Northeast Arctic)","anf"
"12",169054,"anf.27.3a46","Anglerfish (Lophius budegassa, Lophius piscatorius) in Subareas 4 and 6, and Division 3.a (North Sea, Rockall and West of Scotland, Skagerrak and Kattegat)","anf"
"13",136486,"ang-78ab","Anglerfish (Lophius piscatorius and L. budegassa) in Divisions VIIb-k and VIIIa,b,d","ang"
"14",169053,"ang-arct","Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 1 and 2 (Northeast Arctic)","ang"
"15",169054,"ang-ivvi","Anglerfish (Lophius piscatorius and L. budegassa) in Divisions IIa, IIIa, Subarea IV and VI","ang"
"16",169049,"ank.27.78ab","Black-bellied anglerfish (Lophius  budegassa) in divisions 7.b–k, 8.a–b, and 8.d  (west and southwest of Ireland, Bay of Biscay)","ank"
"17",169050,"ank.27.8c9a","Black-bellied anglerfish (Lophius budegassa) in divisions 8.c and 9.a (Cantabrian Sea, Atlantic Iberian waters)","ank"
"18",169055,"anp-78ab","Anglerfish (Piscatorius) in Divisions VIIb-k and VIIIa,b","anp"
"19",169056,"anp-8c9a","Anglerfish (Piscatorius) in Divisions VIIIc and IXa","anp"
"20",169057,"arg-123a4","Greater silver smelt (Argentina silus) in subareas 1, 2, and 4, and in Division 3.a (Northeast Arctic, North Sea, Skagerrak and Kattegat)","arg"
"21",169058,"arg-5b6a","Greater silver smelt (Argentina silus) in divisions 5.b and 6.a (Faroes grounds and west of Scotland)","arg"
"22",169059,"arg-icel","Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)","arg"
"23",136491,"arg-oth","Greater silver smelt (Argentina silus) in Subareas I  II  IV  VI-X  XII  and XIV  and Divisions IIIa and Vb (Northeast Atlantic)","arg"
"24",169060,"arg-rest","Greater silver smelt (Argentina silus) in Subareas 7–10 and 12, and Division 6.b (other areas)","arg"
"25",169057,"aru.27.123a4","Greater silver smelt (Argentina silus) in subareas 1, 2, and 4, and in Division 3.a (Northeast Arctic, North Sea, Skagerrak and Kattegat)","aru"
"26",169059,"aru.27.5a14","Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)","aru"
"27",169058,"aru.27.5b6a","Greater silver smelt (Argentina silus) in divisions 5.b and 6.a (Faroes grounds and west of Scotland)","aru"
"28",169060,"aru.27.6b7-1012","Greater silver smelt (Argentina silus) in Subareas 7–10 and 12, and Division 6.b (other areas)","aru"
"29",169061,"bli-5a14","Blue ling (Molva dypterygia) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)","bli"
"30",169062,"bli-5b67","Blue ling (Molva dypterygia) in Subdivision Vb. and Subareas VI and VII","bli"
"31",169063,"bli-oth","Blue ling (Molva dypterygia) in Subareas 1, 2, 8, 9, and 12, and Divisions 3.a and 4.a (other areas)","bli"
"32",169061,"bli.27.5a14","Blue ling (Molva dypterygia) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)","bli"
"33",169062,"bli.27.5b67","Blue ling (Molva dypterygia) in subareas 6–7 and Division 5.b (Celtic Seas, English Channel, and Faroes grounds)","bli"
"34",169063,"bli.27.nea","Blue ling (Molva dypterygia) in Subareas 1, 2, 8, 9, and 12, and Divisions 3.a and 4.a (other areas)","bli"
"35",169064,"bll-2232","Brill in Subdivisions 22 - 32 (Baltic Sea)","bll"
"36",169065,"bll-nsea","Brill (Scophthalmus rhombus) in Subarea 4 and divisions 3.a and 7.d–e (North Sea, Skagerrak and Kattegat, English Channel)","bll"
"37",169064,"bll.27.22-32","Brill (Scophthalmus rhombus) in subdivisions 22–32 (Baltic Sea)","bll"
"38",169065,"bll.27.3a47de","Brill (Scophthalmus rhombus) in Subarea 4 and divisions 3.a and 7.d–e (North Sea, Skagerrak and Kattegat, English Channel)","bll"
"39",169066,"boc-nea","Boarfish in the Northeast Atlantic","boc"
"40",169066,"boc.27.6-8","Boarfish (Capros aper) in subareas 6–8 (Celtic Seas, English Channel, and Bay of Biscay)","boc"
"41",136500,"bsf-89","Black scabbardfish (Aphanopus carbo) in Subareas VIII and IX","bsf"
"42",169067,"bsf-nea","Black scabbardfish (Aphanopus carbo) in Subareas 1, 2, 4–8, 10, and 14, and Divisions 3.a, 9.a, and 12.b (Northeast Atlantic and Arctic Ocean) ","bsf"
"43",136502,"bsf-nrtn","Black scabbardfish (Aphanopus carbo) in Subareas VI, VII, and Divisions Vb and XIIb","bsf"
"44",136503,"bsf-oth","Black scabbardfish (Aphanopus carbo) in other areas (Subareas I  II  IV  X  XIV and Divisions IIIa  Va)","bsf"
"45",169067,"bsf.27.nea","Black scabbardfish (Aphanopus carbo) in Subareas 1, 2, 4–8, 10, and 14, and Divisions 3.a, 9.a, and 12.b (Northeast Atlantic and Arctic Ocean) ","bsf"
